"id","url_id","hotel_id","language","event_type","status","error_message","duration_ms","worker_id","extra_data","scraped_at"
"0af1a048-3bfc-46a2-9ee4-1a736009803e","6eda12cd-aaa4-4e19-9848-23ac7e81a60f",NULL,"de","scrape_success","done",NULL,274185,NULL,"{}","2026-03-10 23:26:39.768109+00"
"482741e9-39dc-480a-849d-153fec850cb5","3004efe0-ccca-48d4-bac8-f1dbc3fd93d5",NULL,"de","scrape_success","done",NULL,171502,NULL,"{}","2026-03-10 23:28:10.750188+00"
"86beeda4-7609-464a-9c1c-4a5b2b274917","82f21dfd-973b-45f2-94ed-6ff1d5766c98",NULL,"es","scrape_success","done",NULL,178130,NULL,"{}","2026-03-10 23:41:36.843561+00"
"94156ec7-1ff4-4535-82ac-4bf76003a125","bb05d4ca-16b0-44d3-9cee-29cb902c0be8",NULL,"es","scrape_success","done",NULL,177447,NULL,"{}","2026-03-10 23:43:06.240264+00"
"f81f679a-8db1-439a-8f32-c1dd9d033e39","82f21dfd-973b-45f2-94ed-6ff1d5766c98",NULL,"en","scrape_success","done",NULL,282363,NULL,"{}","2026-03-10 23:46:19.647858+00"
"a6399a6e-5337-4116-8a49-ed0d42455ff5","6eda12cd-aaa4-4e19-9848-23ac7e81a60f",NULL,"es","scrape_success","done",NULL,178917,NULL,"{}","2026-03-10 23:17:05.663399+00"
"84f7d8d2-0704-4060-bebe-cb123b9cf4a7","3004efe0-ccca-48d4-bac8-f1dbc3fd93d5",NULL,"es","scrape_success","done",NULL,180873,NULL,"{}","2026-03-10 23:18:36.196339+00"
"774389f9-7b73-4a06-955a-e48c9cf5a553","6eda12cd-aaa4-4e19-9848-23ac7e81a60f",NULL,"en","scrape_success","done",NULL,284905,NULL,"{}","2026-03-10 23:21:50.825888+00"
"1f826417-81ab-47c6-b97b-cce2b76ef0aa","6eda12cd-aaa4-4e19-9848-23ac7e81a60f",NULL,"fr","scrape_success","done",NULL,180341,NULL,"{}","2026-03-10 23:29:40.546964+00"
"3de95b88-dff1-404e-bc2c-f025130c6e57","3004efe0-ccca-48d4-bac8-f1dbc3fd93d5",NULL,"fr","scrape_success","done",NULL,178769,NULL,"{}","2026-03-10 23:31:09.803935+00"
"b56db4b3-851e-4ab9-9ed8-aa00abfce214","6eda12cd-aaa4-4e19-9848-23ac7e81a60f",NULL,"it","scrape_success","done",NULL,179974,NULL,"{}","2026-03-10 23:32:40.867534+00"
"2c92c69e-9526-4bbf-b6c2-9caa0c1fb284","3004efe0-ccca-48d4-bac8-f1dbc3fd93d5",NULL,"it","scrape_success","done",NULL,179525,NULL,"{}","2026-03-10 23:34:09.801457+00"
"7d0ec10a-e40f-4ab0-9038-ad1cc2ea03a4","6eda12cd-aaa4-4e19-9848-23ac7e81a60f",NULL,"nl","scrape_success","done",NULL,178785,NULL,"{}","2026-03-10 23:35:39.921865+00"
"e7fa1ec0-e0ae-47db-b483-2350f4cfbcc5","3004efe0-ccca-48d4-bac8-f1dbc3fd93d5",NULL,"nl","scrape_success","done",NULL,178365,NULL,"{}","2026-03-10 23:37:08.707338+00"
"580f9dcc-2c4f-4a64-bdca-3e6842b23b17","6eda12cd-aaa4-4e19-9848-23ac7e81a60f",NULL,"pt","scrape_success","done",NULL,178084,NULL,"{}","2026-03-10 23:38:38.368099+00"
"59152925-c979-4917-a73d-fe64d843f967","3004efe0-ccca-48d4-bac8-f1dbc3fd93d5",NULL,"pt","scrape_success","done",NULL,179407,NULL,"{}","2026-03-10 23:40:08.498579+00"
"5e4f41f4-3cd4-4375-8428-6bb972454b80","bb05d4ca-16b0-44d3-9cee-29cb902c0be8",NULL,"en","scrape_success","done",NULL,387238,NULL,"{}","2026-03-10 23:49:33.921427+00"
"bd8a40a4-90a7-4466-9c6c-8f9733d3c519","82f21dfd-973b-45f2-94ed-6ff1d5766c98",NULL,"de","scrape_success","done",NULL,273299,NULL,"{}","2026-03-10 23:51:03.232593+00"
"f9227191-ac1c-4107-9805-79ea93ae30dc","bb05d4ca-16b0-44d3-9cee-29cb902c0be8",NULL,"de","scrape_success","done",NULL,168929,NULL,"{}","2026-03-10 23:52:33.160721+00"
"94b9ac1a-8d2d-411a-959b-c65464933252","82f21dfd-973b-45f2-94ed-6ff1d5766c98",NULL,"fr","scrape_success","done",NULL,180525,NULL,"{}","2026-03-10 23:54:04.222501+00"
"32fa7198-6c02-4083-a12a-59f45dc3cafe","bb05d4ca-16b0-44d3-9cee-29cb902c0be8",NULL,"fr","scrape_success","done",NULL,179283,NULL,"{}","2026-03-10 23:55:32.776224+00"
"f11a2db1-e5d2-4efd-8b59-307c2824993f","82f21dfd-973b-45f2-94ed-6ff1d5766c98",NULL,"it","scrape_success","done",NULL,176825,NULL,"{}","2026-03-10 23:57:01.413143+00"
"511aab3c-6cf5-499a-8054-df88272f028a","bb05d4ca-16b0-44d3-9cee-29cb902c0be8",NULL,"it","scrape_success","done",NULL,178724,NULL,"{}","2026-03-10 23:58:31.979947+00"
"fe49c2d7-05d4-4a0d-b1ff-9ebc4dda5bb4","82f21dfd-973b-45f2-94ed-6ff1d5766c98",NULL,"nl","scrape_success","done",NULL,179123,NULL,"{}","2026-03-11 00:00:00.886217+00"
"229f56cf-ea11-4624-b4e5-c19c4d0ce17c","bb05d4ca-16b0-44d3-9cee-29cb902c0be8",NULL,"nl","scrape_success","done",NULL,179007,NULL,"{}","2026-03-11 00:01:31.196142+00"
"72cf9ffd-347d-4967-850b-5acb327d6cb4","82f21dfd-973b-45f2-94ed-6ff1d5766c98",NULL,"pt","scrape_success","done",NULL,178470,NULL,"{}","2026-03-11 00:02:59.677498+00"
